Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"54832","1","2019-07-01 09:34:28","0","37","<machine-learning><scikit-learn><matplotlib><distribution>","2",""
"54833","1","2019-07-01 09:41:05","0","14","<classification><probability>","1",""
"54834","1","2019-07-01 09:54:45","0","39","<python><pandas><lstm>","0",""
"54835","1","2019-07-01 10:03:15","2","43","<clustering>","1","2"
"54838","1","2019-07-01 10:36:55","0","159","<machine-learning><classification><algorithms><methodology>","0","0"
"54839","1","2019-07-01 10:48:46","0","61","<classification><recommender-system>","1","1"
"54842","1","2019-07-01 11:23:03","2","144","<neural-network><reinforcement-learning>","1",""
"54847","1","2019-07-01 13:04:35","1","54","<outlier>","2",""
"54849","1","2019-07-01 13:21:59","2","150","<deep-learning><reinforcement-learning><policy-gradients>","0",""
"54850","1","2019-07-01 13:39:06","2","3159","<python><time-series><visualization><matplotlib>","2",""
"54852","1","2019-07-01 13:44:55","0","110","<python><visualization>","1",""
"54855","1","2019-07-01 14:03:37","1","83","<machine-learning><orange><orange3>","0",""
"54856","1","2019-07-01 14:06:20","0","146","<neural-network><gradient-descent><autoencoder><dimensionality-reduction><mini-batch-gradient-descent>","1",""
"54860","1","2019-07-01 14:42:16","0","288","<python>","0",""
"54861","1","2019-07-01 15:02:25","2","39","<machine-learning><svm><regularization><perceptron>","1",""
"54873","1","2019-07-01 19:58:09","5","1916","<python><scikit-learn><unsupervised-learning><anomaly-detection><outlier>","1",""
"54877","1","2019-07-01 21:59:22","2","315","<machine-learning><neural-network><deep-learning><optimization><gradient-descent>","3","2"
"54878","1","2019-07-01 22:48:43","2","53","<anomaly-detection><outlier>","0",""
"54885","1","2019-07-02 05:51:21","0","101","<machine-learning><statistics><data-science-model><feature-scaling><distribution>","2","0"
"54886","1","2019-07-02 05:54:38","0","68","<orange><opencv><orange3>","0",""
"54887","1","2019-07-02 06:39:48","1","32","<keras><computer-vision><image-preprocessing><inceptionresnetv2>","2","1"
"54888","1","2019-07-02 06:41:19","2","1485","<deep-learning><tensorflow><bert>","1",""
"54889","1","2019-07-02 06:59:24","1","87","<python><forecasting>","0","1"
"54890","1","2019-07-02 07:18:18","0","3839","<machine-learning><python><pandas><data-science-model><kaggle>","1","1"
"54891","1","2019-07-02 07:25:03","2","185","<machine-learning><python><nlp><data-cleaning>","1",""
"63522","1","2019-11-21 08:05:20","2","50","<dataset><bigdata><beginner>","0",""
"63524","1","2019-11-21 08:42:37","2","85","<machine-learning><deep-learning><time-series><supervised-learning><generative-models>","1",""
"63526","1","2019-11-21 09:26:37","2","31","<python><jupyter><numerical>","1",""
"63529","1","2019-11-21 09:39:59","0","19","<python><ensemble-modeling><k-nn><multi-output>","0",""
"63531","1","2019-11-21 10:34:46","0","41","<neural-network><keras><cross-validation><optimization>","1",""
"63533","1","2019-11-21 11:02:03","2","117","<machine-learning><tensorflow><word-embeddings>","1",""
"63534","1","2019-11-21 11:06:00","0","189","<machine-learning><gridsearchcv><data-leakage>","0",""
"63536","1","2019-11-21 12:10:05","0","120","<machine-learning><python><scikit-learn><time-series><preprocessing>","0",""
"63538","1","2019-11-21 13:11:13","0","30","<python><time-series><pandas><numpy><interpolation>","1",""
"63540","1","2019-11-21 14:02:35","1","34","<machine-learning><python><keras><convnet><confusion-matrix>","1","1"
"63541","1","2019-11-21 14:28:19","2","58","<data-mining><data><bigdata>","1",""
"63544","1","2019-11-21 14:58:31","1","208","<regression><linear-regression>","3",""
"63545","1","2019-11-21 15:15:13","1","35","<machine-learning><optimization><unsupervised-learning><loss-function>","0",""
"63549","1","2019-11-21 15:28:26","2","12","<machine-learning><nlp><natural-language-process><nlg>","0","1"
"63552","1","2019-11-21 15:50:47","1","17","<python><nlp><text-mining><information-retrieval>","0",""
"63554","1","2019-11-21 16:19:05","0","2144","<python><scikit-learn>","1",""
"63555","1","2019-11-21 16:59:51","1","142","<probability><class-imbalance><sampling><smote><probability-calibration>","1",""
"63556","1","2019-11-21 17:09:37","0","536","<pandas>","1",""
"63558","1","2019-11-21 17:31:50","5","369","<classification><feature-engineering><non-parametric><anova>","3","5"
"63563","1","2019-11-21 19:09:12","2","92","<classification><r><random-forest>","3",""
"63568","1","2019-11-22 00:52:00","0","16","<clustering>","1","1"
"63571","1","2019-11-22 03:00:42","0","348","<keras><tensorflow>","1",""
"63573","1","2019-11-22 04:29:10","1","69","<machine-learning><unbalanced-classes><smote>","1",""
"63575","1","2019-11-22 05:10:48","1","460","<neural-network><cnn><reinforcement-learning>","1","1"
"63576","1","2019-11-22 05:12:52","0","16","<lda><gensim>","0",""
"63577","1","2019-11-22 05:34:08","0","20","<deep-learning><cnn><image-classification>","0","1"
"63580","1","2019-11-22 06:41:50","1","89","<machine-learning><feature-selection><preprocessing><data-science-model><model-selection>","2",""
"63583","1","2019-11-22 07:03:41","1","17","<data-cleaning><feature-engineering><preprocessing><outlier>","0",""
"63586","1","2019-11-22 08:39:49","1","82","<activation-function><gaussian><neural>","1","1"
"63587","1","2019-11-22 08:58:10","0","20","<machine-learning><reinforcement-learning><q-learning>","0","1"
"63588","1","2019-11-22 09:34:47","2","53","<python><feature-scaling>","1","1"
"63590","1","2019-11-22 10:13:21","0","34","<nlp><tfidf>","3",""
"63591","1","2019-11-22 10:26:00","0","31","<python><classification><scikit-learn><text-mining><naive-bayes-classifier>","1",""
"63592","1","2019-11-22 10:41:39","0","35","<r><data-cleaning><linear-regression><missing-data>","0",""
"63596","1","2019-11-22 11:36:33","1","14","<classification><noise>","0",""
"63599","1","2019-11-22 12:23:15","1","15","<deep-learning><labels><image-segmentation>","1",""
"63600","1","2019-11-22 12:39:27","4","39","<machine-learning><deep-learning><nlp>","1",""
"63609","1","2019-11-22 14:45:57","0","148","<python><tensorflow><gpu>","1",""
"63610","1","2019-11-22 14:49:04","1","162","<tableau><heatmap>","1",""
"63613","1","2019-11-22 15:28:45","0","16","<time-series><predictive-modeling><forecasting>","0",""
"63615","1","2019-11-22 15:36:23","0","43","<machine-learning><python><neural-network><data-science-model><ai>","2",""
"63616","1","2019-11-22 15:54:01","0","18","<machine-learning><neural-network>","0",""
"63617","1","2019-11-22 16:04:32","1","25","<sql><web-scraping><python-3.x>","1",""
"63619","1","2019-11-22 16:46:48","0","30","<python><classification><keras><convolution>","0",""
"63620","1","2019-11-22 17:08:29","0","12","<python><keras><reinforcement-learning>","0",""
"63623","1","2019-11-22 19:46:06","1","31","<machine-learning><logistic-regression><genetic-algorithms>","2",""
"63624","1","2019-11-22 20:05:58","1","29","<machine-learning><data-science-model>","0","0"
"63625","1","2019-11-22 21:42:04","0","49","<time-series><multiclass-classification>","0",""
"63628","1","2019-11-22 23:37:59","2","13","<machine-learning><anomaly-detection>","1",""
"63637","1","2019-11-23 10:40:09","2","33","<classification><text-mining><naive-bayes-classifier><classifier>","1",""
"63638","1","2019-11-23 11:52:58","0","30","<orange>","0",""
"63639","1","2019-11-23 12:39:49","1","2253","<python>","3",""
"44008","1","2019-01-15 04:02:26","1","245","<nlp><multiclass-classification><search-engine>","2","1"
"44009","1","2019-01-15 05:56:45","1","1213","<machine-learning><svm><feature-scaling><encoding><k-nn>","1",""
"44011","1","2019-01-15 06:33:28","2","409","<machine-learning><computer-vision><career><linear-algebra>","1",""
"44017","1","2019-01-15 09:27:31","0","79","<neural-network><lstm><training><overfitting><labels>","1","1"
"44022","1","2019-01-15 10:26:42","0","73","<machine-learning><statistics><pca><image-recognition><dimensionality-reduction>","1",""
"44024","1","2019-01-15 10:39:59","1","1851","<lstm>","1","1"
"44031","1","2019-01-15 12:43:59","1","506","<machine-learning><gan>","1","1"
"44036","1","2019-01-15 13:32:45","0","137","<machine-learning><regression><feature-scaling>","1",""
"44037","1","2019-01-15 13:45:01","1","67","<beginner><tools><methodology>","1",""
"44038","1","2019-01-15 13:45:11","2","122","<classification><cnn><text><learning>","1",""
"44042","1","2019-01-15 14:33:09","0","56","<feature-scaling>","2",""
"44046","1","2019-01-15 15:43:45","0","23","<machine-learning><statistics><visualization><pca>","1",""
"44047","1","2019-01-15 15:45:58","0","208","<word-embeddings><multilabel-classification>","1",""
"44049","1","2019-01-15 16:40:42","0","491","<object-detection><object-recognition>","1",""
"44053","1","2019-01-15 17:41:52","1","26","<nlp>","1",""
"44055","1","2019-01-15 17:59:51","0","51","<text>","1",""
"44057","1","2019-01-15 18:41:32","1","226","<python><time-series><pandas>","0",""
"44060","1","2019-01-15 21:19:37","2","424","<machine-learning><deep-learning><keras><scikit-learn>","2",""
"44061","1","2019-01-15 23:24:10","2","58","<predictive-modeling><data><anomaly-detection>","0",""
"44065","1","2019-01-16 02:09:44","13","7304","<deep-learning><keras><dropout><monte-carlo>","1","2"
"44068","1","2019-01-16 03:25:57","3","76","<generative-models><embeddings><text-generation>","2",""
"44070","1","2019-01-16 05:05:29","2","382","<machine-learning><regularization><matrix-factorisation><embeddings>","0","1"
"44071","1","2019-01-16 05:58:02","0","61","<algorithms><math>","2",""
"44072","1","2019-01-16 06:12:30","0","639","<visualization><data><correlation><probability>","2",""
"44079","1","2019-01-16 10:35:30","3","123","<machine-learning><linear-regression><optimization>","1",""
"44082","1","2019-01-16 10:44:05","3","81","<machine-learning><cnn><convnet><image-classification>","1",""
"44087","1","2019-01-16 13:15:55","1","192","<classification><scikit-learn><accuracy>","2",""
"44089","1","2019-01-16 14:02:39","0","23","<machine-learning><neural-network><convnet><image-classification><data-augmentation>","1",""
"44091","1","2019-01-16 14:41:34","4","1543","<neural-network><gradient-descent><loss-function>","2","1"
"44094","1","2019-01-16 15:51:52","0","126","<nlp><word-embeddings>","1",""
"44096","1","2019-01-16 16:48:10","2","315","<nlp><data><multilabel-classification>","2","2"
"44097","1","2019-01-16 16:55:52","3","56","<machine-learning><score><collinearity>","2",""
"44101","1","2019-01-16 17:41:27","1","336","<python><neural-network><tensorflow><accuracy><overfitting>","2",""
"44102","1","2019-01-16 17:48:31","0","16","<machine-learning><neural-network>","1",""
"44103","1","2019-01-16 17:57:37","1","218","<machine-learning><bigdata><image-classification><training><image-recognition>","0",""
"44108","1","2019-01-16 18:16:04","8","6826","<machine-learning>","2",""
"44109","1","2019-01-16 18:16:48","0","151","<machine-learning><bigdata><sampling><hyperparameter-tuning>","2","1"
"44115","1","2019-01-16 18:58:53","3","341","<logistic-regression>","2",""
"44123","1","2019-01-16 21:26:54","0","60","<parallel><boosting>","1",""
"44124","1","2019-01-16 22:27:53","5","5727","<machine-learning><neural-network><deep-learning><keras><tensorflow>","1","1"
"44126","1","2019-01-16 22:58:29","4","244","<machine-learning><correlation>","2","1"
"44127","1","2019-01-17 02:11:07","1","173","<clustering><tfidf>","2",""
"44133","1","2019-01-17 05:00:14","5","855","<python><computer-vision><similarity><opencv>","2","2"
"44139","1","2019-01-17 09:40:28","3","381","<overfitting><variance><bias>","1",""
"44141","1","2019-01-17 10:15:11","0","67","<scikit-learn>","3",""
"73454","1","2020-05-03 12:43:36","0","115","<python><dataframe><json>","1",""
"73457","1","2020-05-03 13:46:49","0","23","<dataset>","0",""
"73459","1","2020-05-03 15:21:12","3","103","<machine-learning><classification><random-forest><predictor-importance>","1",""
"73460","1","2020-05-03 15:29:00","0","13","<deep-learning><mxnet>","0",""
"73465","1","2020-05-03 15:56:57","1","85","<python><time-series><pandas><dataframe>","2",""
"73468","1","2020-05-03 16:17:29","0","25","<normalization>","1","1"
"73472","1","2020-05-03 16:56:52","1","29","<classification><clustering><prediction><spectral-clustering>","1",""
"73473","1","2020-05-03 18:41:40","1","64","<machine-learning><nlp><unsupervised-learning><topic-model><lda>","1",""
"73474","1","2020-05-03 18:55:21","1","41","<machine-learning><classification><scikit-learn><kaggle>","0",""
"73476","1","2020-05-03 19:04:27","0","7","<visualization><crisp-dm>","0",""
"73478","1","2020-05-03 19:35:55","0","33","<machine-learning><python><cnn>","1",""
"73485","1","2020-05-04 05:35:46","0","26","<machine-learning><python><data-mining><pandas><pattern-recognition>","1",""
"73486","1","2020-05-04 05:45:58","0","33","<python><nlp><word-embeddings><tokenization><semantic-similarity>","1",""
"73488","1","2020-05-04 07:16:42","1","28","<machine-learning><python><scikit-learn><clustering>","0",""
"73491","1","2020-05-04 07:52:46","0","21","<machine-learning><neural-network><deep-learning><ann>","1",""
"73495","1","2020-05-04 08:30:05","-1","29","<machine-learning><statistics>","1",""
"73496","1","2020-05-04 08:31:58","-1","23","<machine-learning><neural-network><overfitting><regularization><parameter>","1",""
"73498","1","2020-05-04 08:50:39","0","12","<scikit-learn><normalization>","0",""
"73499","1","2020-05-04 09:02:58","1","14","<data><tableau><learning>","0",""
"73500","1","2020-05-04 09:06:50","0","4","<machine-learning><clustering><unsupervised-learning><supervised-learning><association-rules>","0",""
"73501","1","2020-05-04 09:29:12","0","5","<reinforcement-learning>","0",""
"73502","1","2020-05-04 09:29:47","6","180","<regression><linear-regression>","2","2"
"73506","1","2020-05-04 10:25:23","1","2489","<machine-learning><scikit-learn><naive-bayes-classifier><hyperparameter><hyperparameter-tuning>","2","1"
"73508","1","2020-05-04 10:27:46","1","34","<keras><tensorflow>","1",""
"73512","1","2020-05-04 11:30:33","0","6","<keras><tensorflow>","0",""
"73513","1","2020-05-04 11:40:38","0","7","<machine-learning><reinforcement-learning>","0",""
"73515","1","2020-05-04 12:14:14","0","59","<deep-learning><colab>","0",""
"73517","1","2020-05-04 12:53:36","0","11","<machine-learning><time-series><clustering><unsupervised-learning><probability>","0","1"
"73518","1","2020-05-04 13:20:51","1","18","<nlp>","1",""
"73520","1","2020-05-04 13:35:44","0","12","<neural-network><deep-learning><image-classification><reinforcement-learning>","0",""
"73522","1","2020-05-04 14:10:16","0","8","<optimization><cost-function>","0",""
"73526","1","2020-05-04 15:00:28","0","102","<machine-learning><random-forest><hyperparameter-tuning>","1",""
"73530","1","2020-05-04 16:02:08","1","37","<machine-learning><time-series><feature-selection><feature-engineering><supervised-learning>","1","1"
"73532","1","2020-05-04 16:28:52","1","13","<clustering>","0",""
"73533","1","2020-05-04 16:43:06","1","14","<time-series><statistics><data-analysis><variance><descriptive-statistics>","0",""
"73534","1","2020-05-04 17:06:39","0","11","<lda>","0",""
"73536","1","2020-05-04 17:35:41","1","14","<neural-network><time-series><lstm><normalization><batch-normalization>","0",""
"73538","1","2020-05-04 18:18:45","0","16","<scikit-learn><pandas><apache-spark><pyspark>","0",""
"73540","1","2020-05-04 18:50:25","0","12","<time-series><regression><clustering>","0",""
"73542","1","2020-05-04 19:15:17","0","9","<machine-learning><h2o>","0",""
"73543","1","2020-05-04 19:27:22","0","43","<cnn><data><training>","2",""
"73544","1","2020-05-04 19:37:40","1","83","<variance><bias>","0",""
"73545","1","2020-05-04 19:43:43","1","16","<machine-learning><neural-network>","0",""
"73547","1","2020-05-04 21:19:52","0","6","<machine-learning><visualization><correlation><data-analysis><kaggle>","0",""
"73550","1","2020-05-04 21:29:59","1","28","<statistics><correlation><statsmodels><anova>","1",""
"73552","1","2020-05-04 23:01:51","0","28","<machine-learning><python><neural-network><keras><tensorflow>","1","1"
"73553","1","2020-05-04 23:09:54","3","287","<lightgbm><explainable-ai><shap>","1","1"
"73554","1","2020-05-04 23:31:30","2","47","<regression><linear-regression><logistic-regression><regularization><cost-function>","1","2"
"73555","1","2020-05-05 00:18:58","0","9","<python><deep-learning><keras><tensorflow><lstm>","0",""
"73556","1","2020-05-05 01:02:48","1","65","<dataset><pandas><data><pytorch><sequence>","1",""
"73559","1","2020-05-05 02:04:52","0","19","<python><recommender-system>","0",""
"73560","1","2020-05-05 02:05:57","1","50","<machine-learning><classification><decision-trees>","1",""
"73564","1","2020-05-05 03:02:53","1","39","<dataset><data><logistic-regression>","1",""
"73565","1","2020-05-05 04:20:55","2","40","<python><opencv>","1",""
"73566","1","2020-05-05 04:28:07","1","33","<clustering><outlier>","1",""
"73571","1","2020-05-05 07:20:24","0","6","<recommender-system><sparsity>","0",""
"73572","1","2020-05-05 07:28:45","0","16","<neural-network><deep-learning><nlp><text-mining>","0",""
"73573","1","2020-05-05 07:29:03","0","16","<python><deep-learning><keras>","0",""
"73576","1","2020-05-05 08:25:43","0","193","<machine-learning><python><neural-network><keras><machine-learning-model>","0",""
"73577","1","2020-05-05 08:33:58","0","13","<machine-learning><machine-learning-model><cross-validation>","0","1"
"73578","1","2020-05-05 08:45:52","0","173","<machine-learning><decision-trees><cross-validation><data-science-model><grid-search>","1",""
"54899","1","2019-07-02 10:02:17","1","115","<neural-network><keras><overfitting><regularization><dropout>","1",""
"54902","1","2019-07-02 10:50:14","1","32","<machine-learning><normalization>","1",""
"54904","1","2019-07-02 11:14:33","0","1446","<python><scikit-learn><feature-extraction><tokenization>","4",""
"54905","1","2019-07-02 11:15:26","2","98","<machine-learning><time-series><anomaly-detection><autoencoder>","0",""
"54906","1","2019-07-02 11:27:51","2","117","<neural-network><nlp><word2vec><word-embeddings><bert>","0",""
"54907","1","2019-07-02 12:20:02","4","8554","<pytorch>","1","1"
"54908","1","2019-07-02 12:21:41","16","9149","<normalization>","3","4"
"54914","1","2019-07-02 13:43:55","-1","54","<statistics><visualization><data-analysis>","1",""
"54920","1","2019-07-02 16:23:04","0","368","<machine-learning><python><neural-network><image-classification>","1",""
"54921","1","2019-07-02 16:30:10","1","73","<xgboost><evaluation>","0","0"
"54922","1","2019-07-02 16:43:04","5","1382","<classification><scikit-learn><random-forest><unbalanced-classes><probability-calibration>","2","2"
"54923","1","2019-07-02 16:51:01","1","468","<statistics><visualization><data-science-model><matplotlib><seaborn>","1",""
"54927","1","2019-07-02 18:12:32","1","18","<classification><probability-calibration>","0","0"
"54928","1","2019-07-02 18:16:25","0","44","<keras><lstm><rnn><prediction>","1",""
"54933","1","2019-07-02 21:38:00","1","45","<classification><unbalanced-classes><smote>","1",""
"54935","1","2019-07-02 22:09:32","1","39","<machine-learning><svm><logistic-regression>","0","0"
"54936","1","2019-07-02 22:24:49","-1","42","<clustering>","2","0"
"54937","1","2019-07-02 22:34:47","2","26","<predictive-modeling><xgboost><prediction><evaluation>","1",""
"54939","1","2019-07-02 23:06:35","2","128","<preprocessing><normalization><markov-hidden-model><expectation-maximization>","0",""
"54942","1","2019-07-03 01:37:43","1","83","<machine-learning><regression>","0",""
"54943","1","2019-07-03 01:43:23","0","131","<scikit-learn><nltk>","1",""
"54946","1","2019-07-03 03:03:01","1","49","<recommender-system><distance><k-nn>","2",""
"54947","1","2019-07-03 03:14:57","3","1106","<data-mining><data-cleaning><data-science-model>","1","1"
"54950","1","2019-07-03 03:20:51","0","166","<predictive-modeling><linear-regression><prediction>","1",""
"54960","1","2019-07-03 06:18:58","0","1147","<machine-learning><python><pandas><feature-engineering><kaggle>","2",""
"54961","1","2019-07-03 06:53:40","0","348","<python><pandas><data-cleaning><feature-engineering>","2",""
"54965","1","2019-07-03 07:20:23","1","38","<machine-learning><recommender-system>","0","1"
"54979","1","2019-07-03 11:24:20","1","529","<python><neural-network><deep-learning><keras><image-preprocessing>","0","0"
"54984","1","2019-07-03 12:51:27","1","24","<image-classification><computer-vision><labels>","1",""
"54985","1","2019-07-03 13:13:29","0","85","<deep-learning><keras><cnn><vgg16>","1",""
"54987","1","2019-07-03 13:43:37","0","14","<optimization><prediction>","0",""
"54992","1","2019-07-03 15:18:16","0","2165","<python><numpy><scipy>","1",""
"54994","1","2019-07-03 15:24:56","0","56","<python><data-science-model><hardware>","0",""
"54998","1","2019-07-03 17:41:19","0","43","<nlp>","2",""
"54999","1","2019-07-03 17:45:02","0","62","<machine-learning><decision-trees>","0",""
"55004","1","2019-07-03 19:10:53","0","35","<machine-learning><tensorflow>","1",""
"55005","1","2019-07-03 19:11:12","1","1154","<machine-learning><python><deep-learning><openai-gym>","1",""
"55009","1","2019-07-03 19:45:48","8","80","<machine-learning><classification><predictive-modeling><multilabel-classification><class-imbalance>","2","3"
"55011","1","2019-07-03 19:50:56","1","610","<k-means>","0",""
"55013","1","2019-07-03 20:50:54","0","485","<deep-learning><autoencoder>","2","2"
"55014","1","2019-07-03 20:54:06","1","840","<keras><computer-vision><object-detection>","1",""
"55015","1","2019-07-03 21:39:09","2","51","<machine-learning><classification><regression><categorical-data><encoding>","0",""
"55016","1","2019-07-03 21:50:11","0","26","<neural-network><gradient-descent><backpropagation>","1",""
"55017","1","2019-07-03 22:09:12","0","31","<machine-learning><python><bigdata>","0",""
"55019","1","2019-07-04 02:40:56","0","47","<machine-learning><nlp><regression><model-selection>","1",""
"55022","1","2019-07-04 05:13:01","1","26","<python><deep-learning><keras><cnn><image-classification>","0",""
"55023","1","2019-07-04 06:21:48","0","136","<python><deep-learning><autoencoder>","1",""
"55026","1","2019-07-04 07:38:19","1","81","<machine-learning><scikit-learn>","3",""
"55031","1","2019-07-04 09:21:29","0","88","<python><scikit-learn><regression><k-nn>","1",""
"55032","1","2019-07-04 09:24:26","0","38","<machine-learning><python><tensorflow><pandas><data-science-model>","2",""
"55033","1","2019-07-04 09:38:11","1","45","<python><time-series><pandas><lstm>","0",""
"55034","1","2019-07-04 09:40:08","1","25","<machine-learning><python><nlp><stanford-nlp>","1",""
"55038","1","2019-07-04 10:05:27","4","492","<dataset>","3","1"
"55039","1","2019-07-04 10:12:47","1","61","<optimization><hyperparameter><bayesian><parallel>","2","1"
"63644","1","2019-11-23 15:11:14","0","101","<scikit-learn><feature-selection><sequential-pattern-mining>","1",""
"63647","1","2019-11-23 16:51:22","0","59","<machine-learning>","2",""
"63648","1","2019-11-23 17:00:42","1","29","<machine-learning><r><prediction><unsupervised-learning><rstudio>","0",""
"63650","1","2019-11-23 18:36:14","2","45","<python><statistics><numpy><scipy>","0",""
"63651","1","2019-11-23 19:25:54","0","17","<machine-learning><optimization>","1",""
"63652","1","2019-11-23 20:55:06","0","838","<python><pandas><dataframe>","2",""
"63656","1","2019-11-23 23:58:37","1","77","<pytorch><gan>","0",""
"63657","1","2019-11-24 00:39:44","1","23","<unbalanced-classes><weighted-data>","1",""
"63658","1","2019-11-24 00:47:29","0","66","<categorical-data><encoding>","2",""
"63667","1","2019-11-24 05:11:41","1","1247","<python><recommender-system><ndcg>","1",""
"63672","1","2019-11-24 07:25:19","0","446","<classification><data-mining><weka>","1",""
"63676","1","2019-11-24 09:34:10","0","14","<machine-learning><dataset><image-recognition>","1",""
"63677","1","2019-11-24 09:53:52","0","8","<time-series><recommender-system>","0",""
"63678","1","2019-11-24 09:57:55","2","73","<clustering><feature-engineering>","3",""
"63680","1","2019-11-24 10:38:21","0","775","<machine-learning><encoding><one-shot-learning>","2",""
"63682","1","2019-11-24 11:16:43","0","31","<pandas><numpy>","0",""
"63683","1","2019-11-24 12:09:22","0","18","<deep-learning><tensorflow><cosine-distance>","1",""
"63684","1","2019-11-24 12:44:31","1","27","<matlab><genetic-algorithms><convergence><genetic-programming>","1",""
"63687","1","2019-11-24 15:38:18","-1","168","<python><pandas><association-rules>","1","0"
"63691","1","2019-11-24 18:40:26","0","9","<r><plotting><confusion-matrix>","0",""
"63692","1","2019-11-24 18:58:42","1","56","<multiclass-classification><multilabel-classification><accuracy>","2",""
"63695","1","2019-11-24 20:27:31","1","993","<clustering><outlier>","2",""
"63697","1","2019-11-24 20:39:54","1","365","<clustering><k-means>","1",""
"63699","1","2019-11-24 22:06:38","2","319","<python><classification><cnn><svm>","4","1"
"63701","1","2019-11-25 00:00:28","1","70","<machine-learning><classification><scikit-learn><cross-validation><matlab>","0",""
"63705","1","2019-11-25 00:42:20","1","190","<machine-learning><deep-learning><reinforcement-learning><implementation><actor-critic>","0",""
"63709","1","2019-11-25 04:52:11","0","149","<keras><lstm><python-3.x>","0",""
"63715","1","2019-11-25 07:12:54","0","55","<classification><data-mining><weka>","0",""
"63717","1","2019-11-25 07:53:39","0","422","<cross-validation><feature-scaling>","2",""
"63718","1","2019-11-25 08:18:49","-1","26","<bigdata><twitter>","1",""
"63721","1","2019-11-25 09:26:47","-1","198","<machine-learning><dataset><supervised-learning><finance>","2",""
"63722","1","2019-11-25 09:27:34","0","95","<machine-learning><deep-learning><cnn>","2",""
"63731","1","2019-11-25 11:29:15","1","39","<classification><nlp><transfer-learning><language-model>","1",""
"63733","1","2019-11-25 12:19:12","0","178","<machine-learning><unbalanced-classes><descriptive-statistics>","4",""
"63735","1","2019-11-25 12:31:03","0","13","<reinforcement-learning><dqn><ai><actor-critic><keras-rl>","0",""
"63738","1","2019-11-25 13:01:54","1","779","<tensorflow><pytorch><reference-request>","1",""
"63743","1","2019-11-25 14:32:21","0","40","<dataset><rnn><normalization><feature-scaling>","1",""
"63746","1","2019-11-25 15:13:00","3","480","<machine-learning><deep-learning><nlp><word-embeddings><bert>","1","1"
"63747","1","2019-11-25 15:18:35","0","34","<machine-learning><neural-network><deep-learning>","0",""
"63748","1","2019-11-25 15:34:09","3","50","<clustering><unsupervised-learning>","1",""
